,Project Reference,Academic Year,Mobility Duration,Activity (mob),Field of Education,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending City,Sending Organization,Receiving City,Receiving Organization,Participants,Activity Classification,New Participant Nationality,New Education Level,Receiving Country Name,Sending Country Name
7786,2018-1-RO01-KA103-047416,2019-2020,76,Student mobility for traineeships between Programme Countries,"Engineering and engineering trades, not further defined",Male,Learner,No,No,No,24,PETROSANI,UNIVERSITATEA DIN PETROSANI,Erzurum,Erzurum Technical University,1,Traineeships,Romania,Bachelor,Turkey,Romania
7787,2018-1-IT02-KA103-047161,2019-2020,60,Student mobility for traineeships between Programme Countries,Medicine,Female,Learner,No,No,No,24,CATANIA,UNIVERSITA DEGLI STUDI DI CATANIA,Oviedo,Instituto Oftalmol?gico Fern?ndez-Vega,1,Traineeships,Italy,Master,Spain,Italy
7788,2014-1-DE01-KA103-000209,2014-2015,145,Student mobility for studies between Programme Countries,"Arts, not further defined",Female,Learner,No,No,No,27,Kassel,UNIVERSITAET KASSEL,Brussels,LUCA SCHOOL OF ARTS VZW,1,Studies,Germany,Bachelor,Belgium,Germany
7789,2018-1-UK01-KA103-046763,2018-2019,170,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,20,BIRMINGHAM,ASTON UNIVERSITY,Chambery,Madame Vacances,1,Traineeships,Switzerland,Bachelor,France,United Kingdom
7790,2014-1-FR01-KA103-000428,2014-2015,125,Student mobility for studies between Programme Countries,Food processing,Female,Learner,No,No,No,24,NANTES,"Ecole Nationale Vétérinaire, Agroalimentaire et de l'alimentation Nantes Atlantique",BERLIN,TECHNISCHE UNIVERSITAET BERLIN,1,Studies,France,Master,Germany,France
7791,2014-1-FR01-KA102-001023,2015-2016,12,VET traineeships in companies abroad,Crop and livestock production,Male,Learner,No,No,No,19,SALIGNY SUR ROUDON,MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION SALIGNY SUR ROUDON,Zuidoostbeemster,Posmus Beemster,1,Traineeships,France,Unknown,Netherlands,France
7792,2015-1-PL01-KA103-014589,2016-2017,5,Staff mobility for teaching between Programme Countries,"Humanities (except languages), not elsewhere classified",Female,Staff,No,No,No,19,LODZ,UNIWERSYTET LODZKI,KAUNAS,KAUNO TECHNOLOGIJOS UNIVERSITETAS,1,Teach,Poland,Bachelor,Lithuania,Poland
7793,2015-1-NL01-KA103-008677,2016-2017,137,Student mobility for traineeships between Programme Countries,"Travel, tourism and leisure",Female,Learner,No,No,No,20,BREDA,STICHTING NHTV INTERNATIONALE HOGESCHOOL BREDA,Lisbon,Altis Hotels,1,Traineeships,Netherlands,Bachelor,Portugal,Netherlands
7794,2017-1-FR01-KA103-035747,2017-2018,270,Student mobility for studies between Programme Countries,Biology,Male,Learner,No,No,No,20,Montpellier,UNIVERSITE DE MONTPELLIER,Carlow,INSTITUTE OF TECHNOLOGY CARLOW,1,Studies,France,Tertiary Education,Ireland,France
7795,2018-1-FR01-KA103-045910,2019-2020,252,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,Female,Learner,No,No,No,20,TOULOUSE CEDEX 9,UNIVERSITE PAUL SABATIER TOULOUSE III,DUNDALK,DUNDALK INSTITUTE OF TECHNOLOGY,1,Studies,France,Bachelor,Ireland,France
7796,2016-1-ES02-KA105-007780,2016-2017,5,Mobility of youth workers - Programme Countries,Other,Male,Staff,No,No,Yes,27,Barcelona,ASSOCIACIO PIRINEUS CREATIUS,La Seu d'Urgell,ASSOCIACIO PIRINEUS CREATIUS,1,Workers,Spain,Unknown,Spain,Spain
7797,2015-1-PL01-KA105-014281,2015-2016,7,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,No,20,Szabadbatty?n,Európa Ifjúsága Egyesület,Zakopane,Polski Instytut Badan i Innowacji spolka z ograniczona odpowiedzialnoscia,1,Youth Exchange,Hungary,Unknown,Poland,Hungary
7798,2018-1-FI01-KA101-046998,2019-2020,6,Structured Courses/Training Events,Education,Female,Staff,No,No,No,52,Oulun kaupunki,"Pateniemen koulu, Oulun kaupunki",Limassol,F.G.G. EDUCULTURE CENTER OF EDUCATION,1,Training,Finland,Unknown,Cyprus,Finland
7799,2017-1-FR01-KA103-036152,2017-2018,133,Student mobility for studies between Programme Countries,Political sciences and civics,Male,Learner,No,No,No,21,Paris,UNIVERSITE PARIS DAUPHINE,Madrid,UNIVERSIDAD AUTONOMA DE MADRID,1,Studies,France,Master,Spain,France
7800,2018-1-DE01-KA103-003707,2018-2019,179,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,22,Berlin,Hochschule für Technik und Wirtschaft Berlin,Bath,ESPA European Student Placement Agency Ltd,1,Traineeships,Germany,Bachelor,United Kingdom,Germany
7801,2018-1-DE04-KA105-016164,2018-2019,12,Mobility of youth workers - Programme Countries,Other,Female,Staff,No,Yes,No,31,Roletto,Vagamondo,Petersberg,Jonglirium e.V.,1,Workers,Poland,Unknown,Germany,Italy
7802,2017-1-IT01-KA102-005997,2018-2019,30,VET traineeships in companies abroad,Hair and beauty services,Female,Learner,No,No,No,17,SAN BENEDETTO DEL TRONTO,ISTITUTO PROFESSIONALE DI STATO PER L'INDUSTRIA E L'ARTIGIANATO,Wroc?aw,AVIVA POLAND - VOCATIONAL TRAINING SP. Z O.O.,1,Traineeships,Italy,Upper Secondary Education,Poland,Italy
7803,2015-3-NL02-KA105-001091,2016-2017,5,Mobility of youth workers - Partner Countries,Other,Female,Staff,No,No,No,20,ATHENS,Hellenic Youth Participation,Tirana,Fëmijët Janë e Ardhmja (Children Are The Future),1,Workers,Greece,Unknown,Albania,Greece
7804,2018-1-UK01-KA103-046871,2018-2019,120,Student mobility for traineeships between Programme Countries,Language acquisition,Female,Learner,No,No,No,20,LIVERPOOL,THE UNIVERSITY OF LIVERPOOL,Paris,Babylangues,1,Traineeships,United Kingdom,Bachelor,France,United Kingdom
7805,2014-1-BE02-KA103-000189,2015-2016,136,Student mobility for studies between Programme Countries,Chemistry,Male,Learner,No,No,No,20,DIEPENBEEK,UC LIMBURG,Porto,INSTITUTO POLITECNICO DO PORTO,2,Studies,Belgium,Bachelor,Portugal,Belgium
7806,2015-1-DK01-KA103-004108,2015-2016,3,Staff mobility for teaching between Programme Countries,"Information and Communication Technologies (ICTs), not further defined",Male,Staff,No,No,No,20,ROSKILDE,ROSKILDE UNIVERSITET,LE KREMLIN BICETRE,ECOLE DE L'INNOVATION ET DE L'EXPERTISE INFORMATIQUE EPITECH,1,Teach,Denmark,Master,France,Denmark
7807,2017-1-IT02-KA103-035637,2018-2019,151,Student mobility for studies between Programme Countries,"Arts, not further defined",Female,Learner,No,No,No,24,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,VILLENEUVE D'ASCQ,UNIVERSITE CHARLES DE GAULLE LILLE3,1,Studies,Italy,Master,France,Italy
7808,2017-1-CZ01-KA105-035238,2017-2018,6,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,17,Rocca di Papa,ASSOCIAZIONE PROGETTO RAGAZZI PER L'UNITA,Deštné v Orlických horách,Pontes z.ú.,2,Youth Exchange,Italy,Unknown,Czechia,Italy
7809,2015-1-ES01-KA107-015205,2016-2017,146,Student mobility for Studies To/From Partner Countries,Law,Male,Learner,No,No,No,21,Sala al Jadida,UNIVERSITE INTERNATIONALE DE RABAT,MADRID,UNIVERSIDAD AUTONOMA DE MADRID,1,Studies,Morocco,Bachelor,Spain,Morocco
7810,2019-1-IT02-KA103-061759,2019-2020,150,Student mobility for studies between Programme Countries,"Information and Communication Technologies (ICTs), not further defined",Male,Learner,No,No,No,23,MILANO,UNIVERSITA DEGLI STUDI DI MILANO,MADRID,UNIVERSIDAD COMPLUTENSE DE MADRID,1,Studies,Italy,Master,Spain,Italy
7811,2017-1-PT01-KA101-035407,2018-2019,6,Structured Courses/Training Events,Management and administration,Female,Staff,No,No,No,48,Arrifana,"AGRUPAMENTO DE ESCOLAS DE ARRIFANA, SANTA MARIA DA FEIRA",Barcelona,EUROPASS sas,1,Training,Portugal,Unknown,Spain,Portugal
7812,2015-1-DE03-KA101-013214,2015-2016,4,Job Shadowing,Teacher training with subject specialization,Male,Staff,No,No,No,32,Sulzbach-Rosenbach,Herzog-Christian-August-Gymnasium,Co Tipperary,Borrisokane Community College,1,Job,Germany,Unknown,Ireland,Germany
7813,2017-1-SI01-KA116-035457,2018-2019,19,VET traineeships in companies abroad,Business and administration,Male,Learner,No,No,No,18,Postojna,Solski center Postojna,Nevsehir,Kapadokya Egitim Akademisi Dernegi,1,Traineeships,Slovenia,Post-Secondary Education,Turkey,Slovenia
7814,2015-2-CZ01-KA105-014203,2016-2017,8,Mobility of youth workers - Programme Countries,Other,Female,Staff,No,No,No,24,Bratislava,Cardio Youngs,Ivančice,"Stredisko volneho casu Ivancice, prispevkova organizace",1,Workers,Slovakia,Unknown,Czechia,Slovakia
7815,2019-1-FR01-KA103-060155,2019-2020,282,Student mobility for studies between Programme Countries,Marketing and advertising,Male,Learner,No,No,No,20,MULHOUSE,UNIVERSITE DE HAUTE ALSACE UHA,SEVILLA,UNIVERSIDAD DE SEVILLA,1,Studies,France,Bachelor,Spain,France
7816,2015-3-DE04-KA105-013432,2016-2017,364,European Voluntary Service - Programme Countries,Other,Female,Learner,No,No,No,29,Pcs,Fiatalok a Vidékért Egyesület,Mncheberg,Schloss Trebnitz Bildungs- und Begegnungszentrum e.V.,1,Voluntary,Hungary,Unknown,Germany,Hungary
7817,2015-2-DE04-KA105-012970,2015-2016,2,Advance Planning Visit – Youth Exchange,Other,Female,Learner,No,No,Yes,34,Mnchen,Verband der russischsprachigen Jugend in Deutschland JunOst e.V.,Mnchen,Verband der russischsprachigen Jugend in Deutschland JunOst e.V.,1,Youth Exchange,Germany,Unknown,Germany,Germany
7818,2014-3-DE04-KA105-001423,2015-2016,12,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,Yes,58,Landshut,Bezirk Niederbayern,Landshut,Bezirk Niederbayern,1,Youth Exchange,Germany,Unknown,Germany,Germany
7819,2016-1-EE01-KA103-017243,2017-2018,271,Student mobility for studies between Programme Countries,Music and performing arts,Male,Learner,No,No,No,24,Tallinn,Eesti Muusika- ja Teatriakadeemia,TAIDEYLIOPISTO,TAIDEYLIOPISTO,1,Studies,Estonia,Bachelor,Finland,Estonia
7820,2018-1-HU01-KA105-047522,2018-2019,7,Mobility of youth workers - Programme Countries,Other,Male,Staff,No,Yes,No,21,Náchod,"Stredisko volneho casu Decko, Nachod, Zamecka 243",SZEGED,DEL-ALFOLDI EUROTENDER IFJUSAGI KULTURALIS OKTATASI ES KORNYEZETVEDELMI EGYESULET,1,Workers,North Macedonia,Unknown,Hungary,Czechia
7821,2014-1-LT01-KA102-000142,2015-2016,19,VET traineeships in companies abroad,Electricity and energy,Male,Learner,No,No,No,19,Mazeikiai,Mazeikiu politechnikos mokykla,Leipzig,wisamar Bildungsgesellschaft gemeinnuetzige GmbH,2,Traineeships,Lithuania,Unknown,Germany,Lithuania
7822,2019-1-EL01-KA101-061508,2019-2020,5,Structured Courses/Training Events,Education science,Female,Staff,No,No,No,51,Βασιλικά Θεσσαλονίκης,Elementary school of Vassilika Thessaloniki,UBEDA JAEN,EUROMIND PROJECTS SL,1,Training,Greece,Unknown,Spain,Greece
7823,2016-1-IT02-KA103-023023,2017-2018,150,Student mobility for studies between Programme Countries,"Languages, not further defined",Male,Learner,No,No,No,22,CATANIA,UNIVERSITA DEGLI STUDI DI CATANIA,PARIS,UNIVERSITE PARIS III SORBONNE NOUVELLE,1,Studies,Italy,Bachelor,France,Italy
7824,2016-1-IT02-KA103-023769,2017-2018,60,Student mobility for traineeships between Programme Countries,Environmental sciences,Female,Learner,No,No,No,26,PARMA,UNIVERSITA DEGLI STUDI DI PARMA,VALENCIA,UNIVERSITAT DE VALENCIA,1,Traineeships,Italy,Master,Spain,Italy
7825,2016-1-RO01-KA105-023313,2016-2017,2,Advance Planning Visit – Youth Exchange,Other,Male,Learner,No,No,No,25,Kratovo,Regionalna Romska Obrazovna Mladinska Asocijacija,RESITA,ASOCIATIA NEVO PARUDIMOS,1,Youth Exchange,North Macedonia,Unknown,Romania,North Macedonia
7826,2018-1-SK01-KA101-046176,2018-2019,12,Structured Courses/Training Events,Languages,Female,Staff,No,No,No,50,Bobrov,Zakladna skola s materskou skolou Bobrov,Cork,Cork English College,1,Training,Slovakia,Unknown,Ireland,Slovakia
7827,2015-1-UK01-KA103-012690,2015-2016,210,Student mobility for traineeships between Programme Countries,"Languages, not further defined",Female,Learner,No,No,No,20,NEWCASTLE UPON TYNE,NORTHUMBRIA UNIVERSITY AT NEWCASTLE,Beuvry,Lycée Polyvalent Hôtelier Marguerite Yourcenar,1,Traineeships,United Kingdom,Bachelor,France,United Kingdom
7828,2018-1-DE04-KA105-016453,2018-2019,9,Mobility of youth workers - Partner Countries,Other,Female,Staff,No,No,No,25,Athens,Youthnet Hellas,Osterholz-Scharmbeck,MOSTAR FRIEDENSPROJEKT EV,1,Workers,Greece,Unknown,Germany,Greece
7829,2016-3-RO01-KA105-035466,2017-2018,5,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,17,Drobeta Turnu Severin,Asociatia Scientia Nemus,Baile Herculane,Asociatia Scientia Nemus,2,Youth Exchange,Romania,Unknown,Romania,Romania
7830,2014-1-SK01-KA103-000373,2015-2016,143,Student mobility for studies between Programme Countries,Building and civil engineering,Male,Learner,No,No,No,22,BRATISLAVA,SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE,Vilnius,Vilniaus Gedimino technikos universitetas,1,Studies,Slovakia,Bachelor,Lithuania,Slovakia
7831,2017-1-IT02-KA103-035629,2018-2019,132,Student mobility for studies between Programme Countries,Management and administration,Female,Learner,No,No,No,23,Milano,UNIVERSITA CATTOLICA DEL SACRO CUORE,GENT,UNIVERSITEIT GENT,1,Studies,Italy,Bachelor,Belgium,Italy
7832,2018-1-LV01-KA101-046780,2019-2020,7,Structured Courses/Training Events,Teacher training with subject specialization,Male,Staff,No,No,No,33,Liepaja,Draudziga aicinajuma Liepajas pilsetas 5.vidusskola,Sesimbra,CREF - Centro de Recursos Educativos e Formação,1,Training,Latvia,Unknown,Portugal,Latvia
7833,2016-1-BE02-KA103-017152,2016-2017,281,Student mobility for studies between Programme Countries,"Engineering and engineering trades, not further defined",Male,Learner,No,No,No,22,BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,MADRID,FUNDACION UNIVERSITARIA SAN PABLO-CEU,1,Studies,Belgium,Master,Spain,Belgium
7834,2015-1-PL01-KA102-014731,2016-2017,14,VET learners traineeships in vocational institutes abroad,"Architecture and construction, not elsewhere classified",Female,Learner,No,No,No,18,Elblag,Zespol Szkol Technicznych,Frankfurt nad Odrą,Berufsförderungswerk e.V. des Bauindustrieverbandes Berlin-Brandenburg e.V.,4,Traineeships,Poland,Unknown,Germany,Poland
7835,2014-1-NL01-KA102-000020,2015-2016,138,VET traineeships in companies abroad,"Travel, tourism and leisure",Female,Learner,No,No,No,19,Hoogeveen,Stichting Christelijk Regionaal Opleidingen Centrum Noord- en Oost Nederland,St Julians,European School of English Ltd,1,Traineeships,Netherlands,Unknown,Malta,Netherlands
7836,2018-1-RO01-KA102-048005,2019-2020,19,Mobility of VET learners (2 weeks up to 3 months),"Hotel, restaurants and catering",Female,Learner,No,No,No,17,Borsa,LICEUL BORSA,Lisboa,SANA HOTELS PORTUGAL,1,Learner,Romania,Upper Secondary Education,Portugal,Romania
7837,2014-1-BE02-KA103-000061,2014-2015,147,Student mobility for studies between Programme Countries,Economics,Male,Learner,No,No,No,19,LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN,Uppsala,UPPSALA UNIVERSITET,1,Studies,Belgium,Bachelor,Sweden,Belgium
7838,2014-1-FR01-KA102-001590,2016-2017,5,Training assignments abroad,Education,Female,Staff,No,No,No,55,TOULOUSE,GIP FCIP TOULOUSE,Venise,USC VENETO,1,Training,France,Unknown,Italy,France
7839,2014-1-TR01-KA101-001552,2015-2016,5,Staff training abroad,Education,Female,Staff,No,No,No,44,Eskisehir,Eskisehir Eti Sosyal Bilimler Lisesi,Assen,QUARTER MEDIATION,1,Training,Turkey,Unknown,Netherlands,Turkey
7840,2015-1-FR01-KA103-014022,2015-2016,243,Student mobility for studies between Programme Countries,Mechanics and metal trades,Male,Learner,No,No,No,22,VILLEURBANNE,INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON,DUBLIN,"THE PROVOST, FELLOWS, FOUNDATION SCHOLARS &amp; THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY &amp; UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN",1,Studies,France,Master,Ireland,France
7841,2017-1-NL01-KA103-035006,2018-2019,90,Student mobility for traineeships between Programme Countries,"Hotel, restaurants and catering",Male,Learner,No,No,No,24,UTRECHT,TIO TEACH BV,Antwerp,Leopold Hotel Antwerp,1,Traineeships,Netherlands,Bachelor,Belgium,Netherlands
7842,2016-1-FR01-KA102-023085,2017-2018,179,VET traineeships in companies abroad,Management and administration,Male,Learner,No,No,No,24,PARIS,CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION PARIS ILE-DE-FRANCE,LONDON,CLUBSTICKETS LTD,1,Traineeships,France,Bachelor,United Kingdom,France
7843,2018-1-SI01-KA102-046883,2019-2020,19,Mobility of VET learners (2 weeks up to 3 months),Economics,Male,Learner,No,No,No,16,Koper,Srednja ekonomsko-poslovna sola Koper,Valencia,Sistema Practices s.l.,1,Learner,North Macedonia,Upper Secondary Education,Spain,Slovenia
7844,2018-1-PT01-KA103-046931,2019-2020,169,Student mobility for traineeships between Programme Countries,"Hotel, restaurants and catering",Female,Learner,No,No,No,20,Porto,INSTITUTO POLITECNICO DO PORTO,Brighton,The Grand Brighton Hotel,2,Traineeships,Portugal,Bachelor,United Kingdom,Portugal
7845,2014-1-TR01-KA103-006312,2015-2016,151,Student mobility for studies between Programme Countries,Law,Female,Learner,No,No,No,21,Istanbul,Koç University,GRONINGEN,RIJKSUNIVERSITEIT GRONINGEN,1,Studies,Turkey,Bachelor,Netherlands,Turkey
7846,2018-1-FR01-KA107-046563,2019-2020,118,Student mobility for Studies To/From Partner Countries,Literature and linguistics,Female,Learner,No,No,No,23,JOUNIEH,UNIVERSITE DE SAINT ESPRIT-KASLIK AUTORITE RELIGIEUSE,NANCY CEDEX,UNIVERSITE DE LORRAINE,1,Studies,Lebanon,Master,France,Lebanon
7847,2017-1-FR01-KA103-035759,2018-2019,88,Student mobility for traineeships between Programme Countries,"Biological and related sciences, not further defined",Female,Learner,No,No,No,21,RENNES CEDEX,UNIVERSITE DE RENNES I,STOCKHOLM,STOCKHOLMS UNIVERSITET,1,Traineeships,France,Master,Sweden,France
7848,2017-1-PL01-KA103-036260,2019-2020,7,Staff mobility for teaching between Programme Countries,"Materials (glass, paper, plastic and wood)",Male,Staff,No,No,No,21,POZNAN,POLITECHNIKA POZNANSKA,BANSKA BYSTRICA,UNIVERZITA MATEJA BELA V BANSKEJ BYSTRICI,1,Teach,Poland,Bachelor,Slovakia,Poland
7849,2016-1-CY02-KA105-000743,2016-2017,8,Youth Exchanges - Programme Countries,Other,Female,Learner,No,Yes,No,23,Civitella in Val di Chiana (Arezzo),Associazione Eurobox,Nicosia,Youth Dynamics,1,Youth Exchange,Italy,Unknown,Cyprus,Italy
7850,2016-1-BE05-KA105-001927,2016-2017,17,European Voluntary Service - Programme Countries,Other,Male,Learner,No,No,No,19,Benediktbeuern,Deutsche Provinz der Salesianer Don Boscos - Jugendbildungsstätte Aktionszentrum,Heverlee,Speelplein Groene Zone - zusters van Don Bosco,1,Voluntary,Germany,Unknown,Belgium,Germany
7851,2015-2-IT03-KA105-006088,2015-2016,7,Mobility of youth workers - Programme Countries,Other,Female,Staff,No,Yes,No,20,Parigi,Nomadways,Chiaramonti,ASSOCIAZIONE INTERCULTURALE NUR,1,Workers,France,Unknown,Italy,France
7852,2015-1-UK01-KA103-012690,2015-2016,137,Student mobility for traineeships between Programme Countries,"Fashion, interior and industrial design",Female,Learner,No,No,No,20,NEWCASTLE UPON TYNE,NORTHUMBRIA UNIVERSITY AT NEWCASTLE,Amsterdam,Calvin Klein (Netherlands),1,Traineeships,United Kingdom,Bachelor,Netherlands,United Kingdom
7853,2016-1-TR01-KA103-029506,2016-2017,285,Student mobility for studies between Programme Countries,Economics,Female,Learner,No,No,No,22,ISTANBUL,YILDIZ TECHNICAL UNIVERSITY,VILLENEUVE D'ASCQ,UNIVERSITE DES SCIENCES ET TECHNOLOGIES DE LILLE - LILLE I,1,Studies,Turkey,Bachelor,France,Turkey
7854,2015-1-DE02-KA104-001923,2016-2017,60,Job Shadowing,Education,Female,Staff,No,No,No,59,Berlin,"Für eine kulturvolle, solidarische Welt e.V.",Krakw,Fundacja Kobieca,1,Job,Germany,Unknown,Poland,Germany
7855,2015-1-ES01-KA103-013345,2015-2016,92,Student mobility for studies between Programme Countries,Veterinary,Female,Learner,No,No,No,22,Zaragoza,UNIVERSIDAD DE ZARAGOZA,Gent,UNIVERSITEIT GENT,1,Studies,Spain,Bachelor,Belgium,Spain
7856,2018-1-DE01-KA103-003898,2019-2020,125,Student mobility for studies between Programme Countries,Electronics and automation,Female,Learner,No,No,No,22,STUTTGART,UNIVERSITAET STUTTGART,Dublin,"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",1,Studies,Germany,Bachelor,Ireland,Germany
7857,2016-1-RO01-KA105-023787,2016-2017,10,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,26,Vienna,Verein zur Förderung von Kulturaustausch und Nachhaltigkeit in Europa,Boldesti-Scaeni,Asociatia GEO CLUB,1,Youth Exchange,Austria,Unknown,Romania,Austria
7858,2019-1-IT02-KA103-061943,2019-2020,170,Student mobility for studies between Programme Countries,Veterinary,Female,Learner,No,No,No,22,FIRENZE,UNIVERSITA DEGLI STUDI DI FIRENZE,CORDOBA,UNIVERSIDAD DE CORDOBA,1,Studies,Italy,Bachelor,Spain,Italy
7859,2014-2-UK01-KA105-001523,2015-2016,7,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,No,17,Imperia,Together Italy,Almondsbury,Together England,1,Youth Exchange,Italy,Unknown,United Kingdom,Italy
7860,2014-1-PL01-KA104-000891,2016-2017,2,Training assignments abroad,Inter-disciplinary programmes and qualifications involving education,Male,Staff,No,No,No,40,Warszawa,Fundacja Korczakowska,Londyn,Instytut Kultury Polskiej w Londynie,1,Training,Poland,Unknown,United Kingdom,Poland
7861,2014-1-UK01-KA103-000229,2014-2015,248,Student mobility for studies between Programme Countries,Sociology and cultural studies,Male,Learner,No,No,No,23,"CANTERBURY, KENT",UNIVERSITY OF KENT,TAMPERE,TAMPEREEN YLIOPISTO,1,Studies,United Kingdom,Bachelor,Finland,United Kingdom
7862,2019-1-FR01-KA103-060992,2019-2020,269,Student mobility for studies between Programme Countries,"Fashion, interior and industrial design",Female,Learner,No,No,No,21,Roubaix,Lycée technologique - Ecole Supérieure des Arts Appliqués et du Textile,VILNIUS,VILNIAUS DAILES AKADEMIJA,1,Studies,France,Bachelor,Lithuania,France
7863,2019-1-BE02-KA103-060028,2019-2020,121,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,23,Leuven,KATHOLIEKE UNIVERSITEIT LEUVEN,Jena,FRIEDRICH-SCHILLER-UNIVERSITAT JENA,1,Studies,Belgium,Master,Germany,Belgium
7864,2016-1-ES01-KA103-022876,2016-2017,130,Student mobility for studies between Programme Countries,Journalism and reporting,Female,Learner,No,No,No,20,Madrid,UNIVERSIDAD COMPLUTENSE DE MADRID,Lisboa,UNIVERSIDADE NOVA DE LISBOA,1,Studies,Spain,Bachelor,Portugal,Spain
7865,2017-1-FR01-KA102-036923,2018-2019,1,VET learners traineeships in vocational institutes abroad,Languages,Female,Learner,No,No,No,44,Montreuil,LYCEE CONDORCET DE MONTREUIL,Eisenstadt,HTL Eisenstadt,1,Traineeships,France,Bachelor,Austria,France
7866,2017-1-ES01-KA103-035435,2017-2018,284,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,21,SANTANDER,UNIVERSIDAD DE CANTABRIA,BARI,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,1,Studies,Spain,Bachelor,Italy,Spain
7867,2017-1-SK01-KA103-034961,2019-2020,62,Student mobility for traineeships between Programme Countries,Biochemistry,Female,Learner,No,No,No,26,KOSICE,UNIVERZITA PAVLA JOZEFA SAFARIKA V KOSICIACH,BRESCIA,UNIVERSITA DEGLI STUDI DI BRESCIA,1,Traineeships,Slovakia,Doctoral,Italy,Slovakia
7868,2016-1-IT02-KA103-023934,2016-2017,151,Student mobility for studies between Programme Countries,Management and administration,Male,Learner,No,No,No,22,MODENA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,Zagreb,Zagrebacka skola ekonomije i managementa,1,Studies,Italy,Master,Croatia,Italy
7869,2019-1-RO01-KA103-061435,2019-2020,300,Student mobility for studies between Programme Countries,Medicine,Female,Learner,No,No,No,22,TARGU MURES,"Universitatea de Medicina, Farmacie, Stinte si Tehnologie George Emil Palade din Tirgu Mures",BUDAPEST,SEMMELWEIS EGYETEM,2,Studies,Romania,Bachelor,Hungary,Romania
7870,2014-1-BE02-KA103-000061,2014-2015,126,Student mobility for studies between Programme Countries,"Agriculture, forestry, fisheries and veterinary",Male,Learner,No,No,No,19,LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN,Praag,CESKA ZEMEDELSKA UNIVERZITA V PRAZE,1,Studies,Belgium,Bachelor,Czechia,Belgium
7871,2017-1-TR01-KA102-044749,2018-2019,12,VET traineeships in companies abroad,Hair and beauty services,Female,Learner,No,No,No,17,İlkadım,Samsun Mesleki Egitim Merkezi,NICOTERA,GIOVANI PER L'EUROPA,1,Traineeships,Turkey,Upper Secondary Education,Italy,Turkey
7872,2018-1-DE01-KA103-003737,2018-2019,159,Student mobility for studies between Programme Countries,Law,Female,Learner,No,No,No,20,Osnabrück,UNIVERSITAET OSNABRUECK,Budapest,PAZMANY PETER KATOLIKUS EGYETEM,1,Studies,Germany,Bachelor,Hungary,Germany
7873,2016-1-FR01-KA103-022969,2016-2017,309,Student mobility for studies between Programme Countries,Language acquisition,Female,Learner,No,No,No,21,Nanterre,UNIVERSITE PARIS OUEST NANTERRE LA DEFENSE,Murcia,UNIVERSIDAD DE MURCIA,1,Studies,France,Bachelor,Spain,France
7874,2015-1-MK01-KA105-002684,2015-2016,57,European Voluntary Service - Programme Countries,Other,Male,Learner,No,No,No,23,Ankara,"Bilgi, Iletisim, Sanat, Egitim ve Kultur Gençlik Kulubu Dernegi",SKOPJE,ASSOCIATION FOR EDUCATION MLADIINFO INTERNATIONAL,1,Voluntary,Turkey,Unknown,North Macedonia,Turkey
7875,2015-2-LT02-KA105-004132,2015-2016,7,Youth Exchanges - Programme Countries,Other,Female,Learner,No,Yes,No,21,Istanbul,FuturEurope Youth,Kaunas,"Asociacija ""Aktyvus Jaunimas""",1,Youth Exchange,Turkey,Unknown,Lithuania,Turkey
7876,2016-1-NL02-KA105-001235,2016-2017,9,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,21,De Weere,Stichting International Projects Argos,De Weere,Stichting International Projects Argos,2,Youth Exchange,Netherlands,Unknown,Netherlands,Netherlands
