,Project Reference,Academic Year,Mobility Duration,Activity (mob),Field of Education,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending City,Sending Organization,Receiving City,Receiving Organization,Participants,Activity Classification,New Participant Nationality,New Education Level,Receiving Country Name,Sending Country Name
2142,2015-1-TR01-KA103-017224,2016-2017,127,Student mobility for studies between Programme Countries,"Humanities (except languages), not further defined",Male,Learner,No,No,No,21,TANDOGAN ANKARA,ANKARA UNIVERSITESI,Lyon,UNIVERSITE JEAN MOULIN LYON III,1,Studies,Turkey,Bachelor,France,Turkey
2143,2019-1-SK01-KA103-060145,2019-2020,149,Student mobility for studies between Programme Countries,"Travel, tourism and leisure",Female,Learner,No,No,No,22,BANSKA BYSTRICA,UNIVERZITA MATEJA BELA V BANSKEJ BYSTRICI,GIRONA,UNIVERSITAT DE GIRONA,1,Studies,Slovakia,Master,Spain,Slovakia
2144,2019-1-HR01-KA103-060250,2019-2020,360,Student mobility for traineeships between Programme Countries,Architecture and town planning,Male,Learner,No,No,No,24,Zagreb,SVEUCILISTE U ZAGREBU,Örebro,Exact Svenska Mätcenter AB,1,Traineeships,Croatia,Master,Sweden,Croatia
2145,2016-1-IT01-KA102-005317,2018-2019,21,VET traineeships in companies abroad,"Hotel, restaurants and catering",Male,Learner,No,No,No,16,Carpi,ASSOCIAZIONE EMILIANO-ROMAGNOLA DI CENTRI AUTONOMI DI FORMAZIONE PROFESSIONALE - A.E.C.A.,Sanitz,Gartenbau Umwelt Beratung,1,Traineeships,Italy,Upper Secondary Education,Germany,Italy
2146,2018-1-PL01-KA107-049641,2019-2020,120,Student mobility for Studies To/From Partner Countries,Architecture and town planning,Female,Learner,No,No,No,20,Nysa,Panstwowa Wyzsza Szkola Zawodowa w Nysie,ILIDZA SARAJEVO,INTERNACIONALNI UNIVERZITET U SARAJEVU,1,Studies,Poland,Bachelor,Bosnia and Herzegovina,Poland
2147,2018-1-BE02-KA101-046693,2019-2020,2,Job Shadowing,Education,Female,Staff,No,No,No,40,Oostende,Vrije Basisschool,castel di lama,Istituto Comprensivo Castel di Lama 1,1,Job,Belgium,Unknown,Italy,Belgium
2148,2016-1-IT02-KA103-023064,2017-2018,64,Student mobility for traineeships between Programme Countries,Language acquisition,Female,Learner,No,No,No,23,MILANO,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,BERLIN,HUMBOLDT UNIVERSITAET ZU BERLIN,1,Traineeships,Italy,Master,Germany,Italy
2149,2014-3-LI02-KA105-000010,2015-2016,180,European Voluntary Service - Programme Countries,Other,Female,Learner,No,No,No,20,Triesen,NetzWerk,MURCIA,AYUNTAMIENTO DE MURCIA,1,Voluntary,Liechtenstein,Unknown,Spain,Liechtenstein
2150,2018-1-FR01-KA101-047459,2019-2020,3,Structured Courses/Training Events,Education,Female,Staff,No,No,No,41,SAINT-LOUIS,Lycée Professionnel Roches Maigres,Dublin,ULearn Limited,1,Training,France,Unknown,Ireland,France
2151,2016-1-RO01-KA103-023249,2016-2017,135,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,19,TARGU MURES,UNIVERSITATEA PETRU MAIOR DIN TARGU MURES,CIUDAD REAL,UNIVERSIDAD DE CASTILLA - LA MANCHA,1,Studies,Romania,Bachelor,Spain,Romania
2152,2018-1-EL01-KA103-046733,2019-2020,127,Student mobility for studies between Programme Countries,"Education, not further defined",Female,Learner,No,No,No,20,ΚΟΖΑΝΗ,PANEPISTIMIO DYTIKIS MAKEDONIAS,CASTELO BRANCO,INSTITUTO POLITECNICO DE CASTELO BRANCO,1,Studies,Greece,Bachelor,Portugal,Greece
2153,2015-1-ES01-KA103-013448,2016-2017,121,Student mobility for studies between Programme Countries,Sociology and cultural studies,Female,Learner,No,No,No,20,LEIOA,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,KLAGENFURT,UNIVERSITAET KLAGENFURT,1,Studies,Spain,Bachelor,Austria,Spain
2154,2016-1-RO01-KA103-023215,2016-2017,4,Staff mobility for teaching between Programme Countries,Therapy and rehabilitation,Female,Staff,No,No,No,20,BACAU,UNIVERSITATEA VASILE ALECSANDRI DIN BACAU,RUSE,UNIVERSITY OF RUSE ANGEL KANCHEV,1,Teach,Romania,Bachelor,Bulgaria,Romania
2155,2018-1-PL01-KA105-050274,2018-2019,8,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,No,29,Луцк,Arkan,Murzasichle,Stowarzyszenie Artystyczne Centrum Art.,1,Youth Exchange,Ukraine,Unknown,Poland,Ukraine
2156,2018-3-SK02-KA105-002021,2019-2020,10,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,Yes,23,Česká Třebová,"Euro Queer Edu Czech Republic, z.s.",Kokošovce,"SAPLINQ, O.Z.",1,Youth Exchange,Czechia,Unknown,Slovakia,Czechia
2157,2015-1-ES01-KA103-014239,2015-2016,260,Student mobility for studies between Programme Countries,Medicine,Female,Learner,No,No,No,23,LA LAGUNA TENERIFE,UNIVERSIDAD DE LA LAGUNA,PERUGIA,UNIVERSITA DEGLI STUDI DI PERUGIA,1,Studies,Spain,Bachelor,Italy,Spain
2158,2017-1-HU01-KA102-035865,2019-2020,8,Staff training abroad,Horticulture,Male,Staff,No,No,No,53,Budapest,Magyar Kertészeti Szakképzö Intézmények Szövetsége,Bad Zwischenahn,Berufsbildende Schulen Ammerland,1,Training,Hungary,Unknown,Germany,Hungary
2159,2014-1-ES01-KA103-000274,2014-2015,284,Student mobility for studies between Programme Countries,Sports,Female,Learner,No,No,No,20,GRANADA,UNIVERSIDAD DE GRANADA,CASSINO,UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,1,Studies,Spain,Bachelor,Italy,Spain
2160,2014-1-SE01-KA103-000010,2014-2015,128,Student mobility for studies between Programme Countries,Law,Female,Learner,No,No,No,22,UPPSALA,UPPSALA UNIVERSITET,RENNES CEDEX,UNIVERSITE RENNES II HAUTE BRETAGNE,1,Studies,Sweden,Bachelor,France,Sweden
